,prompt
0,stereotypical man with yellow fever and his girlfriend
1,"anthropomorphic cockroach wearing tiny sneakers, rap music, dreads, by kehinde wiley"
2,"by octane, centered, insecticide advertisement,by humorous illustration,,4k, anthropomorphic cockroach in a keffiyeh and sunglasses "
3,"cleary see face,, insecticide advertisement,by Bloodborne,cinematic lighting,geometric,huge scene, anthropomorphic cockroach with bagpipes, by art by artgerm and greg rutkowski and alphonse mucha and maya takamura and Hitomi Isono "
4,"photoreal,  ultra detailed, anthropomorphic cockroach wearing a tallit,4 k, by artgerm,, German insecticide advertisement "
5,"by oil ,  close-up off angle view, anthropomorphic cockroach wearing a tallit,macro lens,still,high resolution, by tim hildebrandt,,by Bruce Pennington,high coherence, German insecticide advertisement "
6,"by art by stanley lau and artgerm,  vulture wearing a keffiyeh, photorealistic, watching a crawling child wearing a tallit,HD,by art station, by [ [ full body shot ] ] "
7,"by Artgerm and Greg Rutkowski and WLOP,hyper realistic, epic lighting,aerial view,  vulture wearing a keffiyeh,cinematic view, splash art, , watching a crawling child wearing a kippah,by esao andrews "
8,"by greg rutkowski, by faces by otto Schmidt, customers are wearing lab coats, , bokeh,photorealism,low angle,   a bat with sunglasses splashing in a soup bow in a chinese restaurant, ultra detailed "
9,"a devout hajji bows to Mecca, a dog in a keffiyeh bows behind him, "
10,"by raphael,cinematic lightning, perfect composition, a dog in a keffiyeh bows behind him,intricate,  a devout hajji bows to Mecca, ,digital render,by mucha "
11,"monkeypox outbreak in an African clinic,scenery,intricate,smooth,by Brom, by maxim verehin, , focus "
12,"by mattias adolfsson,iredescent soft glow bloom effect,orange and gold,breed of peace half body shot, by artgerm,by Artgerm,bright colors, "
13,"an Indian Space Agency lunar lander with numerous commuters riding on top and hanging from the sides,"
14,"a lunar lander  with great hordes of commuters riding on top and hanging from the sides as if on a train in India,"
15,"a crashed lunar probe, tardigrades in kippahs and tallits wander near the wreckage,"
16,"perfect composition,rim light,by mucha, photograph, a crashed lunar probe, tardigrades in kippahs and tallit wander near the wreckage, 50 mm focal length,, chiaroscuro lighting,moody cinematic lighting, religious,by retrofuturism, by mattias adolfsson "
17,"a hog in a black turban bowing to Mecca,"
18,"a hog in a black turban bowing to Mecca, chiaroscuro lighting,by cgsociety, ,dramatic, by cinematic lighting,recombinant light,  religious "
19,"by vray renderer, a backpack,   ,  a little kid wearing a green head band,by paint drips, splash art,rich vivid color,dynamic lighting,by greg rutkowski, a keffiyeh,8k photorealistic, and a clock radio on his chest,macro lens,  chiaroscuro lighting, volumetric lighting "
20,Children playing with ketchup in a swimming pool
21,"a monkey holding a white flag and eating a piece of cheese, the Eifel tower is in the background,  "
22,"men in black turbans roping a steer, the Taj Mahal is in the background, a crowd watches in silence, "
23,"Hajjis in Mecca with a giant goddess Aphrodite standing on  top of the Kaaba, languid, "
24,"by splash art,aerial photography,by unreal 5 render, by unreal engine 5, Hajjis in Mecca with the Egyptian goddess Isis standing on top of the Kaaba,cinematic concept art, languid, HD quality "
25,A very beautiful whale 
26,"very realistic, super highly detailed,by artwork by borovikovsky,,large cat litter box at the end of a row of urinals,  by by kaws,photorealism"
27,"large litter box at the end of a row of urinals, "
28,"large cat litter box at the end of a row of urinals, anthropomorphic cat,"
29,"Camelpox clinic in Qatar, "
30,"DEI Shipping Lines container ship crashing into a large bridge with lots of flames and black smoke, "
31,"man with dark glasses and cane walking a large bat on a leash,by by karol bak,    by intricate detailed octane render, ,  backlit strobe photography,natural light, detailed and intricate environment, splash art "
32,"by artstationhd,, shiny, stormy tangle in the foreground, moody atmosphere, 50 mm focal length,  by 4 k. wow. octane rende, by greg rutkowskir, photograph, sunny,  ladies pair,  by yoji takeshige, shark, torn paper intricate texture "
33,"African traditional healer seeing a patient in a modern hospital, nose piercing, chicken,"
34,"a young blonde,by makoto shinkai. digital render,  loathsome left scattered  the ground,extra crisp, portrait of an egyptian moon goddess, orange and gold, Aphrodite, by 3 d octane render,   close-up off angle view, shopworn wet skin,   hunger,  fashion posing assure stripping Unix ,  blueberry stained back,"
35,"portrait of an egyptian moon goddess,  blueberry stained back, a young blonde,   fashion posing assure stripping Unix , Aphrodite, splash art,   hunger,, by by kaws,dream - like, orange and gold,cinematic light, shopworn wet skin,  loathsome left scattered  the ground,realistic,   midday,by cinematic lighting"
36,"vray renderer,by peter mohrbacher,, cyclone symmetry,award winning masterpiece with incredible details,by william bouguereau, beautiful juice girl of jungle,  honey, by [ [ full body shot ] ]"
